Number,Name,Code,Emoji,Hall of Fame,Comment
436,man in motorized wheelchair: facing right,U+1F468 U+200D U+1F9BC U+200D U+27A1 U+FE0F,👨‍🦼‍➡️,,
437,woman in motorized wheelchair,U+1F469 U+200D U+1F9BC,👩‍🦼,,
438,woman in motorized wheelchair: facing right,U+1F469 U+200D U+1F9BC U+200D U+27A1 U+FE0F,👩‍🦼‍➡️,,
439,person in manual wheelchair,U+1F9D1 U+200D U+1F9BD,🧑‍🦽,,
440,person in manual wheelchair: facing right,U+1F9D1 U+200D U+1F9BD U+200D U+27A1 U+FE0F,🧑‍🦽‍➡️,,
441,man in manual wheelchair,U+1F468 U+200D U+1F9BD,👨‍🦽,,
442,man in manual wheelchair: facing right,U+1F468 U+200D U+1F9BD U+200D U+27A1 U+FE0F,👨‍🦽‍➡️,,
443,woman in manual wheelchair,U+1F469 U+200D U+1F9BD,👩‍🦽,,
444,woman in manual wheelchair: facing right,U+1F469 U+200D U+1F9BD U+200D U+27A1 U+FE0F,👩‍🦽‍➡️,,
445,person running,U+1F3C3,🏃,,
№,CLDR Short Name,Code,Browser,,
446,man running,U+1F3C3 U+200D U+2642 U+FE0F,🏃‍♂️,,
447,woman running,U+1F3C3 U+200D U+2640 U+FE0F,🏃‍♀️,,
448,person running: facing right,U+1F3C3 U+200D U+27A1 U+FE0F,🏃‍➡️,,
449,woman running: facing right,U+1F3C3 U+200D U+2640 U+FE0F U+200D U+27A1 U+FE0F,🏃‍♀️‍➡️,,
450,man running: facing right,U+1F3C3 U+200D U+2642 U+FE0F U+200D U+27A1 U+FE0F,🏃‍♂️‍➡️,,
